"filename", "language", "Markdown", "Ignore", "TypeScript", "JSON with Comments", "JavaScript", "PostCSS", "TypeScript JSX", "JSON", "YAML", "Docker", "Shell Script", "comment", "blank", "total"
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\types\gigs.ts", "TypeScript", 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 25, 24, 211
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\types\logging.ts", "TypeScript", 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 19, 19, 181
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\types\profile.ts", "TypeScript", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 79, 11, 157
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\types\sidebar.ts", "TypeScript", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 100, 61, 258
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\types\skills.ts", "TypeScript", 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 131, 78, 358
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\types\users.ts", "TypeScript", 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 30, 28, 205
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\utils\fetchers-client.ts", "TypeScript", 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 28, 10, 144
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\utils\fetchers-server.ts", "TypeScript", 0, 0, 391, 0, 0, 0, 0, 0, 0, 0, 0, 78, 42, 511
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\utils\fetchers.ts", "TypeScript", 0, 0, 778, 0, 0, 0, 0, 0, 0, 0, 0, 152, 80, 1010
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\utils\format.ts", "TypeScript", 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 94, 24, 231
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\utils\progressDebouncer.ts", "TypeScript", 0, 0, 253, 0, 0, 0, 0, 0, 0, 0, 0, 82, 61, 396
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\utils\routing.ts", "TypeScript", 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 46, 28, 209
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\utils\time.ts", "TypeScript", 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 69, 25, 229
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\tsconfig.json", "JSON with Comments", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 4, 4, 45
"Total", "-", 13702, 34, 23726, 62, 223, 119, 21808, 135, 11163, 51, 1637, 7706, 13404, 93770
