"filename", "language", "JavaScript", "TypeScript", "Markdown", "YAML", "Docker", "JSON with Comments", "JSON", "Shell Script", "PostCSS", "TypeScript JSX", "Ignore", "comment", "blank", "total"
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\instructions\Gigsy Long Term Technical Architecture.md", "Markdown", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 224
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\instructions\Jotai.instructions.md", "Markdown", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\instructions\clerk.instructions.md", "Markdown", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 92
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\instructions\containerization-docker-best-practices.instructions.md", "Markdown", 0, 0, 604, 0, 0, 0, 0, 0, 0, 0, 0, 1, 77, 682
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\instructions\convex.instructions.md", "Markdown", 0, 0, 606, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 676
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\instructions\frontend.instructions.md", "Markdown", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 173
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\instructions\github-actions-ci-cd-best-practices.instructions.md", "Markdown", 0, 0, 551, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56, 608
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\instructions\jest.instructions.md", "Markdown", 0, 0, 494, 0, 0, 0, 0, 0, 0, 0, 0, 0, 124, 618
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\instructions\markdown.instructions.md", "Markdown", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 53
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\instructions\memory-bank.instructions.md", "Markdown", 0, 0, 232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 299
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\instructions\nextjs-tailwind.instructions.md", "Markdown", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 73
